movie,directors,stars,year,runtime,genres
Wellwood,Eliza Hooper,"Keisha Castle-Hughes, Lance E. Nichols, Camille Balsamo, Siena D'Addario",,,Sci-Fi
Fate,Dan Sheldon,"Daniel Bonjour, Anne Clare Lush, Marshal Hilton, Jerry Hoffman",2016,95 min,"Drama, Sci-Fi, Thriller"
The Yesterday Machine,Russ Marker,"Tim Holt, James Britton, Jack Herman, Ann Pellegrino",1965,85 min,Sci-Fi
Rewind: Die zweite Chance,Johannes Sievert,"Alex Brendemühl, Maximilian von Pufendorf, Sascha Alexander Gersak, Andreas Nickl",2017,106 min,"Crime, Sci-Fi, Thriller"
Dark Breed,Richard Pepin,"Jack Scalia, Cindy Ambuehl, Jonathan Banks, Gregg Brazzel",1996,104 min,"Action, Horror, Sci-Fi"
The Wrong Todd,Rob Schulbaum,"Jesse Rosen, Anna Rizzo, Sean Carmichael, Derek K. Moore",2018,90 min,"Comedy, Sci-Fi"
Real Playing Game,"Tino Navarro, David Rebordão","Cian Barry, Alix Wilton Regan, Nik Xhelilaj, Pedro Granger",2013,103 min,"Action, Adventure, Sci-Fi"
In Memory Of,Eric Stanze,"Jackie Kelly, Jason Christ, Adam Ahlbrandt, Emily Haack",2018,122 min,"Adventure, Horror, Sci-Fi"
Hungry for You,Dimitri Logothetis,"Michael Phenicie, Rochelle Swanson, Gary Wood, Nancy Hochman",1996,92 min,"Sci-Fi, Thriller"
Sick: Survive the Night,Ryan M. Andrews,"Christina Aceto, Richard Roy Sutton, Robert Nolan, Jennifer Polansky",2012,95 min,"Horror, Sci-Fi"
Have Rocket -- Will Travel,David Lowell Rich,"Moe Howard, Larry Fine, Joe DeRita, Jerome Cowan",1959,76 min,"Comedy, Sci-Fi"
Alternate Universe: A Rescue Mission,Estlin Feigley,"Steve Guttenberg, Harry Lennix, Stephanie Andrea Barron, Anna Benuzzi",2016,84 min,"Adventure, Family, Sci-Fi"
Jack's Apocalypse,Will James Moore,"David Maldonado, Jamie Tisdale, Tishuan Scott, Matthew James",2015,80 min,"Fantasy, Sci-Fi, Thriller"
Alien Opponent,Colin Theys,"Jeremy London, Roddy Piper, Adrienne LaValley, Cuyle Carvin",2010,92 min,"Action, Comedy, Sci-Fi"
friEnD ADd 6,Dean Littner,"Dudley Beene, Jules Bernstein, Cannon Ball Buckley, John Cantwell",2018,67 min,"Comedy, Fantasy, Horror"
Planet of the Vampire Women,Darin Wood,"Liesel Hanson, Jawara Duncan, Stephanie Hyden, Keith Letl",2011,95 min,Sci-Fi
