movie,directors,stars,year,runtime,genres
Xenoa ,Sean Lim,"Isabel Granada, Paolo Ballesteros, Rafael Nanquil, Geryk Genasky Aguas, Clementine Poblete",2007, -,"Science Fiction, Action, Fantasy"
There ,James Fotopoulos,"Xander O'Connor, Brenda Bakke, Sarah Brooks, Joe Swanberg, David Zellner",2015, 1h 43m,"War, Drama, Science Fiction"
No-A ,Liam Murphy,,2015, 0h 5m,Science Fiction
Marooned ,Adam Whitehouse,"Carl David Sturdy, Dan Gaisford",2015, 0h 30m,"Science Fiction, History"
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid ",Eric Louzil,"Brick Bronsky, Lisa Star, John Tallman, Lisa Gaye, Albert Bear",1994, 1h 42m,"Comedy, Horror, Science Fiction, Action"
Adam ,Bruno Bozzetto,,2002, 0h 3m,"Science Fiction, Animation, Comedy"
Kokey ,Romy Suzara,"Carlo Aquino, Ani Pearl Alonzo, Mahal, Ricky Davao, Cherry Pie Picache",1997, -,"Science Fiction, Adventure, Family, Fantasy"
The Limping Devil ,Juraj Herz,"Václav Neckář, Juraj Herz, Jana Šulcová",1968, 1h 22m,"Comedy, Science Fiction, Fantasy, Music"
One Under the Sun ,"Vincent Tran, Riyaana Hartley","Gene Farber, Pooja Batra, Ava Cantrell, Clint Jung, Jamie Ann Burke",2017, -,Science Fiction
Metroid: The Sky Calls ,Sam R. Balcomb,"Jessica Chobot, America Young",2015, 0h 12m,Science Fiction
The Open ,Marc Lahore,"Maia Levasseur-Costil, James Northcote, Pierre Benoist",2015, 1h 44m,"Science Fiction, Drama"
The Vegetable Monster from Outer Space ,Petter Baiestorf,"Petter Baiestorf, Coffin Souza, E.B. Toniolli",1995, 1h 17m,"Comedy, Horror, Science Fiction"
The Boy Who Couldn't Sleep and Never Had To ,Dan Eckman,"Jack Quaid, Tony Revolori, Jennifer Blakeslee, Gregory Burke, John Nania",2015, 0h 5m,Science Fiction
Mobile Suit Gundam 00: A Wakening of the Trailblazer ,Seiji Mizushima,"Hiroshi Kamiya, Mamoru Miyano, Ryo Katsuji, Shin-ichiro Miki, Yuichi Nakamura",2010, 2h 3m,"Action, Science Fiction, Animation, Drama"
The Aerodrome ,Giles Foster,"Peter Firth, Dominic Jephcott, Richard Briers, Richard Johnson, Jill Bennett",1983, 1h 31m,"Drama, Science Fiction, TV Movie"
Robot World ,Neil Rowe,Ian Rowe,2015, 1h 20m,"Thriller, Science Fiction"
The Force on Thunder Mountain ,Peter B. Good,"Christopher Cain, Todd Dutson, Borge West, David Fogg, James Lyle Strong",1978, 1h 33m,"Drama, Science Fiction"
2,S. Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson, Sudhanshu Pandey, Adil Hussain",2018, 2h 29m,"Action, Science Fiction"
Sensory Perception ,Alessandro Signore,"Mike Duff, Kris Keyes, John Savage, Corbin Bernsen, Stephanie Guarino",2015, 1h 32m,"Thriller, Science Fiction"
Buck Rogers in the 25th Century ,Dr. Harlan Tarbell,"John Dille Jr., Dr. Harlan Tarbell",1934, 0h 10m,Science Fiction
The Black Knight Returns ,Juan Avilez,"Adam Salandra, Win De Lugo, Cheryl Texiera",2009, -,"Action, Adventure, Science Fiction"
Buck Rogers ,"Saul A. Goodkind, Ford Beebe","Buster Crabbe, Constance Moore, Anthony Warde, Jackie Moran, C. Montague Shaw",1977, 1h 30m,Science Fiction
Eternal Sunshine of the Spotless Mind ,Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood",2004, 1h 48m,"Science Fiction, Drama, Romance"
Visible ,Clay Delauney,"Henry Ian Cusick, Sonya Walger, Sonya Walger",2016, 0h 15m,"Romance, Science Fiction"
Re-Evolution ,Andrew Walkington,,2011, 1h 12m,"Science Fiction, Drama"
Switch Man ,Hsun-Chun Chuang,,2015, 0h 4m,"Action, Animation, Comedy, Drama, Science Fiction"
Helix ,Eric Petey,"Robert L. Duncan, Marc Petey, David Stuart, Rhonda Dent, Elfina Luk",2015, 1h 38m,"Action, Mystery, Science Fiction"
How To Live on Earth ,Ahn Seul-Gi,"Park Byung-eun, Si-nae Jo, Jang So-yeon",2008, 1h 33m,"Drama, Science Fiction"
Beyond the Call to Duty ,Aleksandar Ivicic,"Kevin Tanski, Juston Graber, Tiana Dunham, Angel Izard, Robert Woodley",2016, 1h 35m,"Action, Thriller, Science Fiction"
Arctic Heart ,Marie Madinier,"Guillaume Canet, Charlotte Le Bon, Patrick d'Assumçao, Anne Le Ny, Damien Chapelle",2016, 1h 21m,"Romance, Comedy, Drama, Science Fiction"
Lost Solace ,Chris Scheuerman,"Andrew Jenkins, Melissa Roxburgh, Leah Gibson, Charlie Kerr, Michael Kopsa",2016, 1h 46m,"Thriller, Science Fiction"
Arene ,Henrik B. Clausen,,2016, 0h 5m,Science Fiction
Maria Fernanda in Time ,Xavier Pijuan Sala,,2015, 0h 9m,"Science Fiction, Comedy"
The Challenge ,John Frankenheimer,"Scott Glenn, Toshirō Mifune, Donna Kei Benz, Atsuo Nakamura, Calvin Jung",1982, 1h 53m,"Action, Science Fiction"
Mighty Joe Young ,Ernest B. Schoedsack,"Terry Moore, Ben Johnson, Robert Armstrong, Frank McHugh, Douglas Fowley",1949, 1h 34m,"Adventure, Fantasy, Drama, Action, Science Fiction"
Star Fox Zero: The Battle Begins ,Kyoji Asano,,2016, 0h 15m,"Science Fiction, Animation"
Scoopers ,"Jun Hirabayashi, Hideo Watanabe","Masayuki Ohashi, Shin'ya Ootaki",1987, 1h 0m,"Animation, Science Fiction, Comedy"
Tale of the Star-Child ,Leonid Nechayev,"Pavel Chernyshev, Gražina Baikštytė, Rostislav Yankovsky, Matlyuba Alimova, Boris Plotnikov",1983, 2h 9m,"Family, Science Fiction, Fantasy"
Mega Piranha ,Eric Forsberg,"Paul Logan, Jude Gerard Prest, Cooper Harris, Clint Browning, William Morse",2010, 1h 32m,"Action, Adventure, Horror, Science Fiction"
Steel Frontier ,"Joe Hart, Paul G. Volk","Joe Lara, Bo Svenson, Stacie Foster, Brion James, Kane Hodder",1995, 1h 45m,"Action, Science Fiction"
Andover ,Scott Perlman,"Jonathan Silverman, Jennifer Finnigan, Steven Bauer, Angela Kinsey, Richard Kind",2018, 1h 31m,"Comedy, Science Fiction, Romance"
Golem: The Return ,Dominik Graf,"Max Riemelt, Bruno Ganz, Hannah Herzsprung, Hannelore Elsner",2017, -,"Thriller, Science Fiction"
Fireball ,Kristoffer Tabori,"Ian Somerhalder, Lexa Doig, Aleks Paunovic, Aaron Pearl, Colin Cunningham",2009, 1h 29m,"Thriller, Science Fiction"
Invasion ,Wes Ball,,2016, 0h 6m,"Horror, Science Fiction"
"Lexx: The Dark Zone - ""I Worship His Shadow"" ",Paul Donovan,"Eva Habermann, Brian Downey, Michael McManus, Jeffrey Hirschfield, Barry Bostwick",1996, 1h 25m,"Science Fiction, Fantasy"
Greetings from Maplevision ,"Logan Day, Rocky Pajarito","Cyrus Alexander, Kim Nielsen, Cole Sadler, Robert Austin Harmon, Neal Carter",2016, 0h 9m,"Adventure, Comedy, Science Fiction"
