genres,movie,directors,link,stars,year,runtime
119,Star Wars: Episode IV - A New Hope,George Lucas,,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",1977,121 min
120,Ghost in the Shell,Rupert Sanders,,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",2017,107 min
121,X-Men Origins: Wolverine,Gavin Hood,,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",2009,107 min
122,The Man Who Killed Hitler and Then The Bigfoot,Robert D. Krzykowski,,"Sam Elliott, Aidan Turner, Sean Bridgers, Larry Miller",2018,98 min
123,2001: A Space Odyssey,Stanley Kubrick,,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",1968,149 min
124,Weird Science,John Hughes,,"Anthony Michael Hall, Ilan Mitchell-Smith, Kelly LeBrock, Bill Paxton",1985,94 min
125,Artemis Fowl,Kenneth Branagh,,"Judi Dench, Josh Gad, Miranda Raison, Hong Chau",2019,
126,Sorry to Bother You,Boots Riley,,"LaKeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick",2018,111 min
437,Cloverfield,Matt Reeves,,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",2008,85 min
438,Deadpool 3,,,,,
439,Close Encounters of the Third Kind,Steven Spielberg,,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon",1977,138 min
440,Maze Runner: The Scorch Trials,Wes Ball,,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito",2015,131 min
441,The Green Hornet,Michel Gondry,,"Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz",2011,119 min
442,X-Force,Drew Goddard,,"Zazie Beetz, Josh Brolin, Ryan Reynolds",,
443,Blade: Trinity,David S. Goyer,,"Wesley Snipes, Kris Kristofferson, Parker Posey, Ryan Reynolds",2004,113 min
375,Congo,Frank Marshall,,"Laura Linney, Tim Curry, Dylan Walsh, Ernie Hudson",1995,109 min
376,Okja,Joon-ho Bong,,"Tilda Swinton, Paul Dano, Seo-hyun Ahn, Jake Gyllenhaal",2017,120 min
377,Metropolis,Fritz Lang,,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge",1927,153 min
378,Doom: Annihilation,Tony Giglio,,"Louis Mandylor, Amy Manson, Nina Bergman, Hari Dhillon",,
379,Batman: Hush,Justin Copeland,,"Rebecca Romijn, Peyton List, Jennifer Morrison, Rainn Wilson",,
380,Abduction,Ernie Barbarash,,"Scott Adkins, Andy On, Truong Ngoc Anh, Lily Ji",2019,106 min
127,Isle of Dogs,Wes Anderson,,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban",2018,101 min
128,Eternal Sunshine of the Spotless Mind,Michel Gondry,,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne",2004,108 min
129,The Lobster,Yorgos Lanthimos,,"Colin Farrell, Rachel Weisz, Jessica Barden, Olivia Colman",2015,119 min
130,Arrival,Denis Villeneuve,,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",2016,116 min
131,Rampage,Brad Peyton,,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan",2018,107 min
132,Lucy,Luc Besson,,"Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked",2014,89 min
133,Avatar 2,James Cameron,,"Zoe Saldana, Vin Diesel, Oona Chaplin, Kate Winslet",2020,
444,Teenage Mutant Ninja Turtles,Jonathan Liebesman,,"Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,101 min
445,Demolition Man,Marco Brambilla,,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",1993,115 min
446,Chronicle,Josh Trank,,"Dane DeHaan, Alex Russell, Michael B. Jordan, Michael Kelly",2012,84 min
447,The Day the Earth Stood Still,Scott Derrickson,,"Keanu Reeves, Jennifer Connelly, Kathy Bates, Jaden Smith",2008,104 min
448,Self/less,Tarsem Singh,,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley",2015,117 min
449,Cold Skin,Xavier Gens,,"Ray Stevenson, David Oakes, Aura Garrido, Winslow M. Iwaki",2017,108 min
381,Species,Roger Donaldson,,"Natasha Henstridge, Michael Madsen, Ben Kingsley, Alfred Molina",1995,108 min
382,The Happening,M. Night Shyamalan,,"Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez",2008,91 min
383,The Time Machine,Simon Wells,,"Guy Pearce, Yancey Arias, Mark Addy, Phyllida Law",2002,96 min
384,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",,"Anna Faris, Bill Hader, Bruce Campbell, James Caan",2009,90 min
385,The Handmaid's Tale,Volker Schlöndorff,,"Natasha Richardson, Faye Dunaway, Aidan Quinn, Elizabeth McGovern",1990,108 min
386,The Cell,Tarsem Singh,,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James",2000,107 min
134,Divergent,Neil Burger,,"Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",2014,139 min
135,Level 16,Danishka Esterhazy,,"Katie Douglas, Celina Martin, Sara Canning, Peter Outerbridge",2018,102 min
136,Predator,John McTiernan,,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo",1987,107 min
137,Await Further Instructions,Johnny Kevorkian,,"Sam Gittins, Neerja Naik, Abigail Cruttenden, David Bradley",2018,91 min
138,The Rocketeer,Joe Johnston,,"Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton",1991,108 min
139,Zombieland,Ruben Fleischer,,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin",2009,88 min
450,Machete Kills,Robert Rodriguez,,"Danny Trejo, Alexa PenaVega, Mel Gibson, Jessica Alba",2013,107 min
387,C.H.U.D.,Douglas Cheek,,"John Heard, Daniel Stern, Christopher Curry, Kim Greist",1984,88 min
388,I Am Number Four,D.J. Caruso,,"Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",2011,111 min
389,Meet the Robinsons,Stephen J. Anderson,,"Daniel Hansen, Wesley Singerman, Angela Bassett, Jordan Fry",2007,95 min
390,Iron Sky: The Coming Race,Timo Vuorensola,,"Lara Rossi, Vladimir Burlakov, Kit Dale, Tom Green",2019,90 min
140,Independence Day: Resurgence,Roland Emmerich,,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe",2016,120 min
141,X-Men: Days of Future Past,Bryan Singer,,"Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy",2014,132 min
142,Power Rangers,Dean Israelite,,"Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin",2017,124 min
143,The Martian,Ridley Scott,,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",2015,144 min
144,Galaxy Quest,Dean Parisot,,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",1999,102 min
145,E.T. the Extra-Terrestrial,Steven Spielberg,,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace",1982,115 min
146,A Cure for Wellness,Gore Verbinski,,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",2016,146 min
391,Transformers: Revenge of the Fallen,Michael Bay,,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",2009,150 min
392,Coneheads,Steve Barron,,"Dan Aykroyd, Jane Curtin, Robert Knott, Jonathan Penner",1993,88 min
393,The Chronicles of Riddick,David Twohy,,"Vin Diesel, Judi Dench, Colm Feore, Thandie Newton",2004,119 min
394,Colossal,Nacho Vigalondo,,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson",2016,109 min
395,Planet of the Apes,Franklin J. Schaffner,,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",1968,112 min
396,Coherence,James Ward Byrkit,,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen",2013,89 min
147,Jupiter Ascending,"Lana Wachowski, Lilly Wachowski",,"Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean",2015,127 min
148,Star Trek,J.J. Abrams,,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",2009,127 min
149,Mad Max,George Miller,,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley",1979,88 min
150,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",2015,136 min
397,Jumper,Doug Liman,,"Hayden Christensen, Samuel L. Jackson, Jamie Bell, Rachel Bilson",2008,88 min
398,Time Freak,Andrew Bowler,,"Asa Butterfield, Sophie Turner, Skyler Gisondo, Will Peltz",2018,104 min
399,Cargo,"Ben Howling, Yolanda Ramke",,"Simone Landers, Martin Freeman, Marlee Jane McPherson-Dobbins, Lily Anne McPherson-Dobbins",2017,105 min
400,Deja Vu,Tony Scott,,"Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer",2006,126 min
451,Aliens vs. Predator: Requiem,"Colin Strause, Greg Strause",,"Reiko Aylesworth, Steven Pasquale, Shareeka Epps, John Ortiz",2007,94 min
452,Black Adam,,,,,
453,Upside Down,Juan Solanas,,"Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma",2012,109 min
454,Solaris,Andrei Tarkovsky,,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy",1971,167 min
455,Doom,Andrzej Bartkowiak,,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei",2005,105 min
456,Reign of Fire,Rob Bowman,,"Matthew McConaughey, Christian Bale, Izabella Scorupco, Gerard Butler",2002,101 min
457,Underworld: Rise of the Lycans,Patrick Tatopoulos,,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh",2009,92 min
458,Moonraker,Lewis Gilbert,,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel",1979,126 min
459,Scooby-Doo 2: Monsters Unleashed,Raja Gosnell,,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",2004,93 min
301,Terminator 3: Rise of the Machines,Jonathan Mostow,,"Arnold Schwarzenegger, Nick Stahl, Kristanna Loken, Claire Danes",2003,109 min
201,Waterworld,Kevin Reynolds,,"Kevin Costner, Jeanne Tripplehorn, Dennis Hopper, Tina Majorino",1995,135 min
51,Serenity,Steven Knight,,"Matthew McConaughey, Anne Hathaway, Diane Lane, Jason Clarke",2019,106 min
501,World War Z 2,David Fincher,,Brad Pitt,,
460,Super Mario Bros.,"Annabel Jankel, Rocky Morton",,"Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis",1993,104 min
461,Gamer,"Mark Neveldine, Brian Taylor",,"Gerard Butler, Michael C. Hall, Ludacris, Amber Valletta",2009,95 min
462,The Adventures of Sharkboy and Lavagirl 3-D,Robert Rodriguez,,"Cayden Boyd, George Lopez, Kristin Davis, David Arquette",2005,93 min
463,Rise of the Planet of the Apes,Rupert Wyatt,,"James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011,105 min
464,The Core,Jon Amiel,,"Aaron Eckhart, Hilary Swank, Delroy Lindo, Bruce Greenwood",2003,135 min
465,My Hero Academia: Two Heroes,Kenji Nagasaki,,"Justin Briner, Christopher Sabat, Ray Chase, Erica Mendez",2018,96 min
